range_m,depth_m,amp,db,split
665.0,14.0,0.00516667145715374,-45.73578307751205,validation
665.0,15.0,0.003687508894873812,-48.665338468465684,train
665.0,16.0,0.0021419108744481206,-53.383972085028795,validation
665.0,17.0,0.0013591145948040732,-57.334878476933696,train
665.0,18.0,0.002383489329623501,-52.4557357595385,validation
665.0,19.0,0.0037875762823347705,-48.4327722329561,validation
665.0,20.0,0.0049566312240977555,-46.096267832496736,validation
665.0,21.0,0.005713507209050513,-44.86194440618944,train
665.0,22.0,0.005973008774704284,-44.47613694496195,validation
665.0,23.0,0.005706438462285343,-44.87269723529916,train
665.0,24.0,0.004936420554880417,-46.13175695970885,train
666.0,1.0,0.0011337238488943096,-58.909854349894,train
666.0,2.0,0.002190192974559447,-53.19035236900476,validation
666.0,3.0,0.0031237873583574876,-50.10637073939716,train
666.0,4.0,0.003939366648003073,-48.091471925862535,train
666.0,5.0,0.004684517506983907,-46.586702673305574,validation
666.0,6.0,0.005409138499788969,-45.33743796803789,validation
666.0,7.0,0.0061246229301863105,-44.25841288010221,train
666.0,8.0,0.006794553218839428,-43.35678190731837,validation
666.0,9.0,0.007333992988870489,-42.69319019101613,train
666.0,10.0,0.007633797902779421,-42.345186834999346,train
666.0,11.0,0.007600697700942389,-42.38293080237975,train
666.0,12.0,0.0071764127238654885,-42.881851849271,validation
666.0,13.0,0.006347592249119969,-43.94781957673303,validation
666.0,14.0,0.005149774161482615,-45.764236322370294,train
666.0,15.0,0.003675804563491314,-48.69295174796896,train
666.0,16.0,0.0021331796752090478,-53.41945125795505,validation
666.0,17.0,0.0013449489376398784,-57.425884075643324,train
666.0,18.0,0.002365909858164241,-52.52003612271313,train
666.0,19.0,0.0037671825650824114,-48.479666650425514,train
666.0,20.0,0.004933938709282015,-46.136124994720305,train
666.0,21.0,0.005689782750186241,-44.89808631426571,train
666.0,22.0,0.0059497823098775045,-44.50997847819703,train
666.0,23.0,0.005685261962837966,-44.90499038594936,train
666.0,24.0,0.004918715104224838,-46.16296662767587,validation
667.0,1.0,0.001161600405208013,-58.69886490292829,train
667.0,2.0,0.0022409227951368537,-52.991462112704575,validation
667.0,3.0,0.0031880657167317077,-49.9294546983429,train
